0000000001,1,0.9687461934318153
0000000002,2,0.5258417704885566,0000000001
0000000003,3,0.9651325586143114,0000000001,0000000002
0000000004,4,0.538860384992633,0000000001,0000000002,0000000003
0000000005,5,0.23259922292235313
0000000006,6,0.9546395127257657,0000000005,0000000002
0000000007,7,0.9906035081215298,0000000002,0000000001,0000000003
0000000008,8,0.016604357198620873,0000000006,0000000007
0000000009,9,0.030741156034630696,0000000003,0000000005
0000000010,10,0.35807576884569997,0000000003,0000000001,0000000002
0000000011,11,0.5917595953094108,0000000008,0000000006,0000000007
0000000012,12,0.8902452572921987,0000000001,0000000008,0000000002
0000000013,13,0.5080039237040446,0000000010,0000000007,0000000006
0000000014,14,0.3988038714529524,0000000001,0000000008,0000000013
0000000015,15,0.17598688078442945
0000000016,16,0.34121078280703376,0000000002,0000000004,0000000011
0000000017,17,0.6042627515687106
0000000018,18,0.07926479653982493,0000000011,0000000015,0000000017
0000000019,19,0.8862068179848852,0000000003,0000000004,0000000017,0000000015
0000000020,20,0.5253052140435336
0000000021,21,0.35704831021930084,0000000016,0000000020,0000000011,0000000012
0000000022,22,0.7075865946875076,0000000018,0000000016
0000000023,23,0.4433983124557935,0000000009,0000000020,0000000001
0000000024,24,0.4386146742946417,0000000019,0000000013,0000000003,0000000022
0000000025,25,0.44830580302542805,0000000006,0000000024,0000000016,0000000019
0000000026,26,0.16711541525959447,0000000009,0000000018,0000000015,0000000022
0000000027,27,0.8555015046241737,0000000018,0000000020,0000000022
0000000028,28,0.8496722177004897
0000000029,29,0.1175041051680798,0000000011,0000000012,0000000024,0000000015
0000000030,30,0.4502592929022232,0000000005,0000000020,0000000002
0000000031,31,0.8297167696516098,0000000027,0000000005,0000000004,0000000015
0000000032,32,0.2587516769354381,0000000010,0000000015,0000000031
0000000033,33,0.5523633960267683,0000000014,0000000003,0000000015,0000000032
0000000034,34,0.5155116115593723,0000000006,0000000017,0000000016,0000000020
0000000035,35,0.04750523182364842,0000000033,0000000001,0000000025
0000000036,36,0.3279946027530929,0000000032,0000000010,0000000018,0000000008
0000000037,37,0.32916301979035645,0000000020,0000000029,0000000028,0000000036
0000000038,38,0.7804107585271637,0000000004,0000000009,0000000034,0000000026
0000000039,39,0.8491775682876839,0000000036,0000000016,0000000014,0000000024
0000000040,40,0.6255746196196578,0000000015,0000000017,0000000019,0000000029
0000000041,41,0.8592396441774702,0000000035,0000000038,0000000018,0000000040
0000000042,42,0.8347761329353304,0000000031,0000000001,0000000010
0000000043,43,0.53688338206726,0000000002,0000000010,0000000016
0000000044,44,0.24464262138828552,0000000027,0000000026,0000000003,0000000017
0000000045,45,0.5846888655543151,0000000015,0000000018,0000000021,0000000044
0000000046,46,0.18593617066286938,0000000002,0000000030,0000000029
