0000000001,1,0.37079921254710163
0000000002,2,0.31081551628850984,0000000001
0000000003,3,0.6873602454509913,0000000001,0000000002
0000000004,4,0.1645569422196295,0000000001,0000000002
0000000005,5,0.8682385091924012,0000000002,0000000001
0000000006,6,0.044967848586942694,0000000005,0000000002
0000000007,7,0.6043860497321284,0000000004,0000000006
0000000008,8,0.4287521132845331,0000000002,0000000001,0000000004
0000000009,9,0.8330693857001878,0000000003,0000000002,0000000001
0000000010,10,0.949537219681942,0000000001,0000000008,0000000006
0000000011,11,0.1638499903364324,0000000001,0000000002
0000000012,12,0.2643257397874302,0000000008,0000000004,0000000010
0000000013,13,0.34179983659831387,0000000007,0000000002,0000000001
0000000014,14,0.2630709861430882,0000000005,0000000003,0000000008
0000000015,15,0.5767586457934275,0000000012,0000000013,0000000003
0000000016,16,0.36437419496853163,0000000014,0000000012,0000000013
0000000017,17,0.8374281112933195,0000000011,0000000001
0000000018,18,0.32726189647511295,0000000016,0000000011,0000000017
0000000019,19,0.2872347446977965,0000000010,0000000013,0000000004
0000000020,20,0.9208292299083808,0000000002,0000000006,0000000018
0000000021,21,0.5258733294681309,0000000020,0000000016,0000000013
0000000022,22,0.676730306594733,0000000002,0000000013,0000000009
0000000023,23,0.7462893806105527,0000000020,0000000012,0000000015
0000000024,24,0.8759587155591074,0000000020,0000000003,0000000021
0000000025,25,0.13923816313100545,0000000013,0000000020,0000000016
0000000026,26,0.9160334512752579,0000000022,0000000002,0000000025
0000000027,27,0.4252666206436656,0000000015,0000000009,0000000013
0000000028,28,0.9952111117742142,0000000020,0000000022,0000000014
0000000029,29,0.691923921874251,0000000001,0000000028
0000000030,30,0.42262782047550357,0000000023,0000000013,0000000027
0000000031,31,0.100277921031534,0000000009,0000000018
0000000032,32,0.39166449380133667,0000000013,0000000003,0000000024
0000000033,33,0.7823477069064897,0000000012,0000000002,0000000028
0000000034,34,0.4260676935481432,0000000009,0000000011,0000000025
0000000035,35,0.5643275507115894,0000000025
0000000036,36,0.4077369854455965,0000000004,0000000022,0000000013
0000000037,37,0.20550131672681798,0000000026,0000000027
0000000038,38,0.5582913935821884,0000000009,0000000021,0000000012
0000000039,39,0.37913159120138307,0000000009,0000000027,0000000005
0000000040,40,0.17871239001708353,0000000015,0000000019,0000000002
0000000041,41,0.6254305848793534,0000000037,0000000028,0000000008
0000000042,42,0.9862939494009222,0000000016,0000000018,0000000019
0000000043,43,0.7008446569928158,0000000035,0000000033,0000000042
0000000044,44,0.005248922048870166,0000000027,0000000004,0000000022
0000000045,45,0.9947840851436682,0000000026,0000000008,0000000004
0000000046,46,0.2056243941050681,0000000002,0000000035,0000000033
0000000047,47,0.8599941722943389,0000000014
0000000048,48,0.8771207549151186,0000000003,0000000029,0000000002
0000000049,49,0.5292540254557395,0000000015,0000000020,0000000028
0000000050,50,0.9157321742997544,0000000021,0000000002,0000000037
0000000051,51,0.45456027693864237,0000000010,0000000007,0000000041
0000000052,52,0.03490548842903829,0000000014,0000000048,0000000007
0000000053,53,0.37355648218329157,0000000024,0000000042,0000000037
0000000054,54,0.7591673030677918,0000000051,0000000008,0000000028
0000000055,55,0.2679148114007883,0000000053,0000000054,0000000005
0000000056,56,0.6091900982678007,0000000044,0000000017
0000000057,57,0.09888558196605308,0000000049,0000000048
0000000058,58,0.558964926217588,0000000006,0000000008,0000000051
0000000059,59,0.5920851566875954,0000000011,0000000054,0000000051
0000000060,60,0.6654982518332516,0000000053,0000000019,0000000056
0000000061,61,0.03802718621181313,0000000050,0000000029,0000000044
0000000062,62,0.6430749815380468,0000000006,0000000041,0000000047
0000000063,63,0.8466438708431061,0000000048,0000000009,0000000015
0000000064,64,0.4632120311497521,0000000007,0000000035
0000000065,65,0.013653635281624365,0000000016,0000000061,0000000027
0000000066,66,0.29772744001032075,0000000061,0000000017,0000000031
0000000067,67,0.4913982330522058,0000000033,0000000058,0000000028
0000000068,68,0.25474768608134796,0000000016,0000000005,0000000048
0000000069,69,0.28224873894320235,0000000014,0000000045,0000000007
0000000070,70,0.383212018136916,0000000018,0000000054,0000000068
0000000071,71,0.3634714611791566,0000000065,0000000055,0000000027
0000000072,72,0.8382817435810621,0000000064,0000000070,0000000030
0000000073,73,0.5801102553242456,0000000059,0000000024,0000000072
0000000074,74,0.2877829336658986,0000000043,0000000067
0000000075,75,0.5148832590096682,0000000047,0000000035,0000000069
0000000076,76,0.5780475647180321,0000000060,0000000021,0000000023
0000000077,77,0.382608027223383,0000000003,0000000018,0000000013
0000000078,78,0.2006101578132624,0000000066,0000000040,0000000009
0000000079,79,0.6922048841265894,0000000062,0000000049,0000000026
0000000080,80,0.5191289762264246,0000000047,0000000063,0000000045
0000000081,81,0.023312716299983507,0000000003,0000000047,0000000016
0000000082,82,0.04868805558093888,0000000049,0000000030,0000000062
0000000083,83,0.25400572161071955,0000000003,0000000037,0000000008
0000000084,84,0.9027965892996068,0000000008,0000000036,0000000082
0000000085,85,0.6814836150271364,0000000076,0000000075,0000000057
0000000086,86,0.8625314467915892,0000000061,0000000037,0000000020
0000000087,87,0.7090502466390123,0000000063,0000000030,0000000071
0000000088,88,0.12871103527345967,0000000080,0000000039,0000000001
0000000089,89,0.5423829385642883,0000000017,0000000037,0000000080
0000000090,90,0.4008948267442544,0000000085,0000000046,0000000003
0000000091,91,0.7485794254191015,0000000048,0000000039
0000000092,92,0.7066582428891702,0000000026,0000000047,0000000003
0000000093,93,0.004256714816962872,0000000048,0000000022,0000000067
0000000094,94,0.16498494353179288,0000000046,0000000004,0000000091
0000000095,95,0.21118308134361555,0000000002,0000000040,0000000026
0000000096,96,0.5996044274006948,0000000080,0000000006,0000000059
0000000097,97,0.15739253062636582,0000000052,0000000025,0000000071
0000000098,98,0.925051288214386,0000000079,0000000096,0000000044
0000000099,99,0.13463737228093647,0000000056,0000000073,0000000041
0000000100,100,0.19549750367109353,0000000010,0000000094,0000000048
0000000101,101,0.9737787137396667,0000000077,0000000063,0000000018
0000000102,102,0.17898372887298972,0000000038,0000000081,0000000024
0000000103,103,0.20703764345480355,0000000054,0000000015,0000000070
0000000104,104,0.1784944606434615,0000000034,0000000064,0000000056
0000000105,105,0.5828380936403396,0000000091,0000000052,0000000075
0000000106,106,0.3057338511758885,0000000029,0000000040,0000000055
0000000107,107,0.8293220225091313,0000000082,0000000078,0000000019
0000000108,108,0.3205511762395633,0000000065,0000000029,0000000048
0000000109,109,0.4924180678046241,0000000024,0000000069,0000000062
0000000110,110,0.648636710286959,0000000079,0000000078,0000000075
0000000111,111,0.8914486884332242,0000000010,0000000088,0000000106
0000000112,112,0.7415386459692765,0000000041,0000000097
0000000113,113,0.5469260890148208,0000000030,0000000072,0000000039
0000000114,114,0.1958061769131578,0000000029,0000000068,0000000091
0000000115,115,0.4089611275195698,0000000030,0000000053,0000000056
0000000116,116,0.5073922274143409,0000000078,0000000019,0000000112
0000000117,117,0.6963919229376792,0000000050,0000000020
0000000118,118,0.0006203468630167138,0000000063,0000000088,0000000112
0000000119,119,0.43088539040082685,0000000014,0000000043,0000000102
0000000120,120,0.9799977809170393,0000000059,0000000017,0000000104
0000000121,121,0.8758067437950979,0000000017,0000000077,0000000053
0000000122,122,0.33329955531379524,0000000111,0000000012,0000000095
0000000123,123,0.5737136072452952,0000000096,0000000025,0000000098
0000000124,124,0.8033042715903359,0000000066,0000000044,0000000031
0000000125,125,0.6558869748816639,0000000031,0000000012,0000000103
0000000126,126,0.9076806030147706,0000000008,0000000064
0000000127,127,0.5069476685351222,0000000111,0000000096,0000000040
0000000128,128,0.5902812562155308,0000000002,0000000126,0000000110
0000000129,129,0.9758885659137526,0000000109,0000000007,0000000094
0000000130,130,0.9629355632251151,0000000125,0000000033,0000000107
0000000131,131,0.6672381875939499,0000000072,0000000077
0000000132,132,0.4040567024891501,0000000128,0000000102
0000000133,133,0.9135852444135001,0000000031,0000000049,0000000062
0000000134,134,0.0192971745529221,0000000066,0000000068,0000000118
0000000135,135,0.17398240035819773,0000000080,0000000104,0000000076
0000000136,136,0.6134178813437232,0000000083,0000000111,0000000034
0000000137,137,0.7291133206158683,0000000018,0000000107,0000000064
0000000138,138,0.23706826887092924,0000000037,0000000078,0000000065
0000000139,139,0.042709587810523544,0000000101,0000000043
0000000140,140,0.2867973058530522,0000000120,0000000057,0000000076
0000000141,141,0.6350975620448248,0000000040,0000000029,0000000079
0000000142,142,0.09253715711091254,0000000053,0000000135,0000000127
0000000143,143,0.38371452415109314,0000000085,0000000019,0000000002
0000000144,144,0.5329124138823815,0000000072,0000000031,0000000027
0000000145,145,0.5719134378475299,0000000134,0000000071,0000000116
0000000146,146,0.3667245917652374,0000000036,0000000104,0000000094
0000000147,147,0.7392129976747132,0000000103,0000000125,0000000105
0000000148,148,0.14287308062632026,0000000050,0000000030,0000000052
0000000149,149,0.987718940614566,0000000103,0000000087,0000000017
0000000150,150,0.19417613406534484,0000000080,0000000119,0000000036
0000000151,151,0.10013598970455524,0000000036,0000000042,0000000039
0000000152,152,0.3106224606594179,0000000051,0000000117,0000000072
0000000153,153,0.9985678782338491,0000000034,0000000103,0000000028
0000000154,154,0.8307370111857624,0000000087,0000000007,0000000129
0000000155,155,0.9866903973581517,0000000083,0000000126,0000000025
0000000156,156,0.062305426327912354,0000000050,0000000100,0000000137
0000000157,157,0.5525669441700032,0000000054,0000000020,0000000061
0000000158,158,0.7408315988774579,0000000043,0000000042,0000000133
0000000159,159,0.1511300308583759,0000000112,0000000045,0000000009
