0000000001,1,0.6511056441893227
0000000002,2,0.4838976172906696
0000000003,3,0.5826652463987078,0000000001
0000000004,4,0.1320354760429207,0000000001
0000000005,5,0.9218580669662338,0000000003
0000000006,6,0.39537002019238415,0000000002,0000000003
0000000007,7,0.8895384966488769,0000000004,0000000005
0000000008,8,0.42187158092328975,0000000004
0000000009,9,0.051287352615366794,0000000006,0000000005
0000000010,10,0.4720560319233253
0000000011,11,0.20871002474921907,0000000010,0000000003
0000000012,12,0.817927562241931,0000000005,0000000003
0000000013,13,0.3891725395468984,0000000008,0000000003
0000000014,14,0.5287417436027675,0000000007,0000000009
0000000015,15,0.12521367816830678,0000000003,0000000001
0000000016,16,0.72447494325865,0000000011
0000000017,17,0.27707195533109563,0000000001,0000000012
0000000018,18,0.7016269703150171,0000000017,0000000004
0000000019,19,0.06951832644369658,0000000008,0000000014
0000000020,20,0.8982613076886465,0000000009
0000000021,21,0.7987536210486723
0000000022,22,0.957498549580757,0000000014,0000000015
0000000023,23,0.4072033278554575
0000000024,24,0.045612784136854004,0000000009,0000000004
0000000025,25,0.9533865228315894,0000000017,0000000021
0000000026,26,0.8862951864456651,0000000009,0000000005
0000000027,27,0.10204622349303663
0000000028,28,0.14185530896267579
0000000029,29,0.6866462207849265,0000000025,0000000012
0000000030,30,0.9004159025112103,0000000002,0000000003
0000000031,31,0.3805287399124448
0000000032,32,0.737607431329509,0000000018,0000000021
0000000033,33,0.09129449532482238,0000000018,0000000022
0000000034,34,0.9589927313874385
0000000035,35,0.8547052016658311,0000000016,0000000026
0000000036,36,0.12918241476481074,0000000021,0000000009
0000000037,37,0.44529027474810307,0000000003,0000000011
0000000038,38,0.7677756475006192,0000000010,0000000026
0000000039,39,0.47702545754638165
0000000040,40,0.2780968699545096
0000000041,41,0.20321319488064365,0000000033,0000000021
0000000042,42,0.022574524351572305,0000000034,0000000027
0000000043,43,0.8295901656440136,0000000006,0000000003
0000000044,44,0.15507912335742546,0000000041,0000000035
0000000045,45,0.11951792030551794,0000000017,0000000036
0000000046,46,0.2990896740776377,0000000034,0000000028
