0000000002,2,0.22639681312995177
0000000006,6,0.9599051722355543,0000000002
0000000319,319,0.9823447069398825
0000000005,5,0.7811949789386228
0000000001,1,0.12312995355853923
0000000009,9,0.9588616468557392,0000000005
0000000003,3,0.2628222917843514,0000000002,0000000001
0000000012,12,0.9840296857555072,0000000006,0000000003
0000000004,4,0.4661760717359237,0000000002
0000000211,211,0.9762967751322156
0000000011,11,0.5254207128248877,0000000006,0000000004
0000000008,8,0.03972671656620825,0000000002,0000000006
0000000649,649,0.991595857479923
0000000010,10,0.07687488243033047
0000000017,17,0.2843942936695215,0000000008,0000000010
0000000015,15,0.6890596227673567,0000000008,0000000011
0000000269,269,0.961311290629526
0000000020,20,0.5064585966934233,0000000015,0000000017
0000000021,21,0.7929369044259968
0000000090,90,0.9406879894387781
0000000018,18,0.5625150535587048,0000000015,0000000017
0000000039,39,0.8299916875325423,0000000018,0000000020
0000000013,13,0.18874648389337917,0000000005,0000000004
0000000028,28,0.7522935047440498
0000000665,665,0.9412497011373383
0000000007,7,0.9103837147948621
0000000096,96,0.988298595697655
0000000217,217,0.9248391977102242
0000000370,370,0.9630705051954315
0000000637,637,0.9097899930130265
0000000025,25,0.6352192354120496,0000000006,0000000021
0000000189,189,0.9369376184823829
0000000023,23,0.2772564150223853,0000000001,0000000006
0000000029,29,0.37789210794911227,0000000012,0000000013
0000000016,16,0.17270470339416433,0000000009,0000000007
0000000291,291,0.9412023344115885
0000000186,186,0.928995652142792
0000000030,30,0.08215956626859604,0000000016,0000000029
0000000031,31,0.17029466880309058,0000000028,0000000030
0000000776,776,0.9638608855890806
0000000035,35,0.03038549221638704,0000000030,0000000002
0000000033,33,0.20067023265316408,0000000023,0000000013
0000000043,43,0.8833072797054654,0000000033,0000000007
0000000024,24,0.35283263783423496,0000000002,0000000011
0000000075,75,0.881375169165721,0000000043,0000000005
0000000070,70,0.9252224996351432
0000000041,41,0.5166762743092809,0000000035
0000000036,36,0.023107691305791152,0000000024,0000000030
0000000049,49,0.6330055928607926,0000000041,0000000036
0000000338,338,0.9555675516502091,0000000039,0000000033
0000000040,40,0.27530933006939834
0000000044,44,0.1908937654530185,0000000025,0000000040
0000000054,54,0.9738589529450961,0000000044,0000000041
0000000071,71,0.8667582803175531,0000000054,0000000036
0000000055,55,0.4327438850957143,0000000030,0000000018
0000000286,286,0.9367594167397548
0000000081,81,0.8025433234466407,0000000005,0000000028
0000000435,435,0.8644846715668445
0000000056,56,0.8771978404032063,0000000049,0000000055
0000000736,736,0.9657060704701257
0000000048,48,0.8020963865802087,0000000013,0000000023
0000000047,47,0.8245947746674538,0000000031,0000000010
0000000632,632,0.9402723762366514
0000000396,396,0.8520752079361347
0000000390,390,0.9515010078748651
0000000369,369,0.8494430705631557
0000000022,22,0.12979022955235167,0000000007,0000000005
0000000026,26,0.7947606606633202,0000000023,0000000022
0000000209,209,0.7860660682445637
0000000019,19,0.2205543619011509,0000000012,0000000013
0000000080,80,0.9162296227169577,0000000015,0000000019
0000000661,661,0.890690911064446
0000000076,76,0.805497750963737
0000000069,69,0.7519166594483583
0000000507,507,0.9079519577806302
0000000067,67,0.4201601673662253,0000000018,0000000008
0000000079,79,0.9946918186148973,0000000076,0000000067
0000000254,254,0.9527815742991428,0000000079,0000000069
0000000077,77,0.4224668151390967,0000000004,0000000021
0000000072,72,0.33554093377529104
0000000460,460,0.8549884102672958
0000000138,138,0.49375343284205614
0000000059,59,0.9199021475689175,0000000044,0000000026
0000000108,108,0.7020394829842558
0000000588,588,0.9529805239457003,0000000015,0000000054
0000000772,772,0.7942105678166008
0000000058,58,0.005881350961528977
0000000693,693,0.8524481128819649
0000000115,115,0.8912564335453607,0000000072,0000000075
0000000042,42,0.3353880420110008
0000000062,62,0.526864656003364
0000000106,106,0.6042006304540952,0000000077,0000000058
0000000060,60,0.19600793102716796
0000000134,134,0.975618039804889,0000000003,0000000106
0000000094,94,0.7879319775110233,0000000060,0000000019
0000000148,148,0.901140981055809,0000000007,0000000134
0000000225,225,0.8901617507277849,0000000042,0000000022
0000000095,95,0.18160023111777587,0000000039,0000000048
0000000089,89,0.1586137163952451,0000000048,0000000004
0000000103,103,0.7787894435464916,0000000096,0000000089
0000000593,593,0.9008269515379587
0000000064,64,0.6703720621750437,0000000039,0000000010
0000000207,207,0.9112953394574517,0000000012,0000000095
0000000032,32,0.5082582404016501,0000000015,0000000012
0000000157,157,0.7080597880398826,0000000138,0000000035
0000000083,83,0.4592091591433977,0000000067,0000000070
0000000122,122,0.4525553645789907,0000000064,0000000081
0000000109,109,0.9302245173261554,0000000005,0000000083
0000000111,111,0.8325140039844013,0000000062,0000000109
0000000285,285,0.8411508733024067,0000000048,0000000064
0000000117,117,0.8233833882751299,0000000004,0000000111
0000000234,234,0.825649511930128
0000000127,127,0.7946031138262536,0000000122,0000000044
0000000165,165,0.7762367192109105
0000000085,85,0.38622598712758843,0000000058,0000000081
0000000120,120,0.902671430671668,0000000108,0000000003
0000000130,130,0.9058338783847166,0000000041,0000000085
0000000159,159,0.9954424626759373,0000000041,0000000085
0000000297,297,0.8176854101422492,0000000031,0000000001
0000000177,177,0.6730882082623235,0000000029,0000000117
0000000547,547,0.8612296510299516
0000000344,344,0.7083663779227786
0000000078,78,0.06945727765989743
0000000051,51,0.015755238541463344,0000000010,0000000011
0000000086,86,0.9070027220577479,0000000015,0000000007
0000000195,195,0.896456698305605,0000000042,0000000127
0000000143,143,0.5293081144899361
0000000456,456,0.7933367259415657
0000000167,167,0.9082245235092736,0000000106,0000000143
0000000118,118,0.7714509492277764,0000000051,0000000060
0000000065,65,0.7437698650643865,0000000032,0000000054
0000000191,191,0.9138465747792034,0000000177,0000000159
0000000509,509,0.9126666084841528,0000000032,0000000159
0000000198,198,0.7101852344031153,0000000013,0000000118
0000000298,298,0.8621781208183239,0000000211,0000000120
0000000212,212,0.8519134595371245,0000000033,0000000009
