0000000001,1,0.915179637959222
0000000002,2,0.6335800168530129,0000000001
0000000003,3,0.555966459508414,0000000002
0000000004,4,0.3777925188474193,0000000003,0000000002
0000000005,5,0.9698672361028375,0000000002,0000000003,0000000001
0000000006,6,0.571803862726089,0000000003,0000000005
0000000007,7,0.09189798947445552,0000000006,0000000005,0000000003
0000000008,8,0.21424462066261823,0000000005,0000000001
0000000009,9,0.8878986145521323
0000000010,10,0.5812115617391945,0000000004,0000000002,0000000001
0000000011,11,0.13359265291267491
0000000012,12,0.681795322692819,0000000006,0000000010
0000000013,13,0.1718778963958561,0000000001,0000000010,0000000009
0000000014,14,0.09916321179068172,0000000011,0000000013
0000000015,15,0.8036886304216057
0000000016,16,0.12152650785657022,0000000010,0000000008
0000000017,17,0.7898213643329999,0000000014,0000000011,0000000001
0000000018,18,0.12838383127300118,0000000009,0000000005,0000000002
0000000019,19,0.8470003088838138
0000000020,20,0.3033824547020705
0000000021,21,0.7499264163835488,0000000017,0000000005,0000000009
0000000022,22,0.2005221605958789,0000000013,0000000017,0000000004
0000000023,23,0.7237991303197003,0000000021,0000000014,0000000004
0000000024,24,0.06813734423026135
0000000025,25,0.3230312608772877,0000000002,0000000018,0000000006
0000000026,26,0.5304722663140913,0000000020,0000000013
0000000027,27,0.8914709458129677,0000000021,0000000001,0000000026
0000000028,28,0.39354699055163894,0000000025,0000000023
0000000029,29,0.25107032348620734
0000000030,30,0.6732556663366279,0000000029,0000000014
0000000031,31,0.8051762235858274,0000000028,0000000011,0000000001
0000000032,32,0.7333745529952591,0000000008,0000000021,0000000004
0000000033,33,0.46156651217128364,0000000024,0000000018,0000000002
0000000034,34,0.521160002296341
0000000035,35,0.28868652188829064,0000000009,0000000018,0000000016
0000000036,36,0.5898913791816647,0000000024,0000000009,0000000001
0000000037,37,0.5090335396600002,0000000002,0000000025,0000000023
0000000038,38,0.023124500284856842
0000000039,39,0.9458315862350823
0000000040,40,0.1721037230479358,0000000009,0000000010,0000000006
0000000041,41,0.12589842105724391,0000000017,0000000034,0000000039
0000000042,42,0.8726971345713038,0000000020,0000000001,0000000034
0000000043,43,0.26854089385192625,0000000015,0000000002,0000000032
0000000044,44,0.9267173881417197,0000000006,0000000013,0000000034
0000000045,45,0.9389853333383932,0000000011,0000000037,0000000009
0000000046,46,0.6920040183600619,0000000030,0000000005,0000000034
0000000047,47,0.22626454232027796,0000000045,0000000020,0000000013
0000000048,48,0.930305580054181,0000000009,0000000008,0000000047
0000000049,49,0.21790233658574687,0000000018,0000000037,0000000016
0000000050,50,0.7638484216263229,0000000045,0000000015,0000000039
0000000051,51,0.41553550107731724,0000000046,0000000025,0000000047
0000000052,52,0.7205067088045064,0000000001,0000000051,0000000037
0000000053,53,0.8197861535168859
0000000054,54,0.5680738032654583
0000000055,55,0.9214541925503186,0000000008,0000000037,0000000011
0000000056,56,0.5507613220156017,0000000008,0000000054,0000000006
0000000057,57,0.9363502049356124,0000000036,0000000006,0000000034
0000000058,58,0.3475511701280934,0000000057,0000000039,0000000049
0000000059,59,0.9881410244127925,0000000027,0000000053,0000000047
0000000060,60,0.34251606657309513,0000000013,0000000055,0000000008
0000000061,61,0.08728355050740301,0000000019,0000000018,0000000038
0000000062,62,0.1276437754715752,0000000045,0000000019,0000000044
0000000063,63,0.8399896966949049,0000000055,0000000032,0000000026
0000000064,64,0.24247621596765,0000000022,0000000008,0000000060
0000000065,65,0.5851751421327576
0000000066,66,0.1195767756094107,0000000022,0000000025,0000000012
0000000067,67,0.48761322814544517,0000000010,0000000054,0000000027
0000000068,68,0.977912107968313,0000000021,0000000005,0000000038
0000000069,69,0.09869557581259225,0000000067,0000000066,0000000017
0000000070,70,0.9875060272814644,0000000056,0000000047,0000000008
0000000071,71,0.7535170707858422,0000000011,0000000048,0000000067
0000000072,72,0.11067136134088348,0000000011,0000000064,0000000017
0000000073,73,0.9920161227800637,0000000047,0000000003,0000000065
0000000074,74,0.1999415930384677,0000000011,0000000064,0000000003
0000000075,75,0.8643736153853092,0000000073,0000000008,0000000027
0000000076,76,0.2037938020777174,0000000013,0000000039,0000000067
0000000077,77,0.49697128947613756,0000000057,0000000001,0000000042
0000000078,78,0.1043972509148702,0000000028,0000000072,0000000070
0000000079,79,0.8218784433989617,0000000038,0000000050,0000000021
0000000080,80,0.5713574559237731,0000000038,0000000057,0000000046
0000000081,81,0.41734140509550616,0000000069,0000000062,0000000051
0000000082,82,0.6064994217118331,0000000004,0000000072
0000000083,83,0.9301777153616916,0000000067,0000000079,0000000014
0000000084,84,0.21324670504990895,0000000010,0000000065,0000000045
0000000085,85,0.7833510649289056,0000000059,0000000072,0000000027
0000000086,86,0.18594135216014987,0000000077,0000000032,0000000055
0000000087,87,0.6259538304846092,0000000067,0000000051,0000000053
0000000088,88,0.007945060211770986
0000000089,89,0.604661719365266
0000000090,90,0.22132108545240506,0000000009,0000000038,0000000059
0000000091,91,0.09827757862740318,0000000036,0000000084,0000000068
0000000092,92,0.224410016193532,0000000040,0000000044,0000000081
0000000093,93,0.4551283998431713,0000000089,0000000013,0000000027
0000000094,94,0.4197327893893773,0000000055,0000000041,0000000093
0000000095,95,0.1934412982295428,0000000073,0000000036,0000000022
0000000096,96,0.976510890733192,0000000020,0000000030,0000000040
0000000097,97,0.23855876342988366
0000000098,98,0.3330284154702812
0000000099,99,0.16836862379587691,0000000054,0000000074,0000000048
0000000100,100,0.09631004578840047,0000000038,0000000068,0000000050
