0000000001,1,0.6945617705411878
0000000002,2,0.944916511932526,0000000001
0000000019,19,0.9016753573614211
0000000003,3,0.42762180704353014,0000000002,0000000001
0000000004,4,0.6156036029975388,0000000001,0000000002
0000000008,8,0.4171617389547434,0000000003,0000000002
0000000007,7,0.29224752008780086,0000000003,0000000004
0000000011,11,0.9142459411353021,0000000008,0000000007,0000000003
0000000091,91,0.9195309555845662
0000000009,9,0.4347361515970162,0000000001,0000000007
0000000010,10,0.26297551088630206,0000000008,0000000002,0000000001
0000000005,5,0.18684249389717583,0000000004,0000000001,0000000003
0000000014,14,0.8348550979759309,0000000005,0000000010
0000000015,15,0.7045109148457557,0000000009,0000000011
0000000025,25,0.6767260871087972,0000000007,0000000010
0000000006,6,0.2381056406164163,0000000002,0000000001,0000000003
0000000017,17,0.06651262264453303,0000000014,0000000006
0000000018,18,0.916386934293565,0000000015,0000000017,0000000001
0000000020,20,0.7285915052948649,0000000014,0000000001,0000000017
0000000039,39,0.8851477889665026,0000000014,0000000018,0000000003
0000000028,28,0.8798276679939074,0000000025,0000000006
0000000021,21,0.5351868049424537,0000000005,0000000010,0000000004
0000000036,36,0.6716820590652588
0000000012,12,0.4871843637649892
0000000022,22,0.5157486526895465,0000000014,0000000018,0000000009
0000000034,34,0.996398234138058,0000000011,0000000022,0000000006
0000000033,33,0.8844837232258594,0000000025,0000000019,0000000021
0000000026,26,0.012989746237341346,0000000011,0000000017,0000000003
0000000030,30,0.9254170999111023,0000000002,0000000026
0000000041,41,0.6472385756733551,0000000022,0000000019,0000000025
0000000052,52,0.7290108386831678
0000000043,43,0.5397706249342148,0000000025,0000000003,0000000028
0000000089,89,0.8799278699298984
0000000027,27,0.3904941892187459,0000000012,0000000005,0000000011
0000000013,13,0.22411090625624364
0000000016,16,0.5672952466951523,0000000013,0000000001,0000000007
0000000049,49,0.70038074592402,0000000041,0000000018,0000000019
0000000078,78,0.9073550518375497
0000000024,24,0.5700915350429825,0000000006
0000000047,47,0.8938817854088571,0000000009,0000000016,0000000012
0000000029,29,0.5109559875321718,0000000008,0000000003
0000000042,42,0.7001686080201033,0000000002,0000000029,0000000036
0000000075,75,0.6113504415698823,0000000039,0000000019,0000000030
0000000038,38,0.36699498171032074,0000000020,0000000007,0000000027
0000000045,45,0.8640532462986213,0000000038,0000000027,0000000015
0000000050,50,0.625259444291507,0000000034,0000000016,0000000003
0000000059,59,0.5601698919923954,0000000045,0000000009,0000000030
0000000044,44,0.4945053701568066
0000000065,65,0.819538724940933,0000000044,0000000021,0000000045
0000000051,51,0.16884881987532524,0000000029,0000000036
0000000040,40,0.04239438103674093
0000000056,56,0.6542282471286117,0000000047,0000000040,0000000041
0000000048,48,0.15381555744282646,0000000014,0000000006
0000000072,72,0.555900798130579,0000000041,0000000015
0000000032,32,0.36787423726083157
0000000061,61,0.2890316940225002,0000000048,0000000050,0000000029
0000000054,54,0.7659516157610867,0000000051,0000000030,0000000048
0000000073,73,0.755988952069982,0000000054,0000000008,0000000042
0000000100,100,0.7510857355713336,0000000022,0000000073,0000000013
0000000070,70,0.32711690525478154,0000000041,0000000005,0000000065
0000000023,23,0.2375889521433152,0000000020
0000000060,60,0.30948259703117353,0000000008,0000000014,0000000051
0000000076,76,0.5775562959970784,0000000060,0000000029,0000000014
0000000035,35,0.38902121004980894,0000000017,0000000032,0000000019
0000000057,57,0.1982096043372115,0000000047,0000000029,0000000035
0000000066,66,0.9799315970112972,0000000012,0000000057,0000000036
0000000031,31,0.20376937144134935,0000000025,0000000002,0000000004
0000000069,69,0.8242906305320908,0000000049,0000000060,0000000031
0000000083,83,0.5471317045519692,0000000047,0000000031,0000000018
0000000090,90,0.5831459306676944,0000000083,0000000035,0000000042
0000000094,94,0.7176230776560704,0000000048,0000000076,0000000051
0000000067,67,0.2924984544708221,0000000007,0000000005,0000000059
0000000088,88,0.6220428130584319,0000000083,0000000009,0000000067
0000000037,37,0.1728868843663384
0000000063,63,0.23579224417301942,0000000013,0000000010,0000000052
0000000077,77,0.9434888931900292,0000000063,0000000024,0000000076
0000000086,86,0.5840088888089547,0000000072,0000000029,0000000069
0000000055,55,0.47867299876329344,0000000037,0000000048,0000000027
0000000097,97,0.36236701815704137,0000000025,0000000032,0000000090
0000000087,87,0.4099632348197884,0000000008,0000000052,0000000057
0000000062,62,0.51712401803736,0000000001,0000000032,0000000050
0000000079,79,0.02982945321088634,0000000005,0000000017,0000000036
0000000085,85,0.5922467048443982,0000000077,0000000079
0000000058,58,0.23504388835045817,0000000028,0000000030,0000000009
0000000099,99,0.29133736749580835,0000000056,0000000045,0000000032
0000000064,64,0.271350529731919,0000000023,0000000048,0000000015
0000000068,68,0.2917440665780247,0000000042,0000000001,0000000061
0000000082,82,0.4359281010281155,0000000064,0000000021,0000000078
0000000053,53,0.4298540370984171,0000000001,0000000028,0000000045
0000000071,71,0.23789415637245231,0000000043,0000000067,0000000002
0000000092,92,0.9833468657007662,0000000036,0000000071,0000000033
0000000046,46,0.19156783830150914,0000000020,0000000004,0000000033
0000000080,80,0.15434380701656722,0000000063,0000000058,0000000004
0000000074,74,0.41092753733479076,0000000070,0000000008,0000000049
0000000093,93,0.2665307750093964,0000000071,0000000068,0000000019
0000000096,96,0.16787664405019462,0000000008,0000000068,0000000001
0000000098,98,0.14474505568925733,0000000042,0000000022,0000000045
0000000084,84,0.09808846928588513,0000000064,0000000025,0000000080
0000000095,95,0.06830667202158622,0000000059,0000000029,0000000020
0000000081,81,0.021331764776907784,0000000009,0000000038,0000000014
