0000000001,1,0.3110616409440816
0000000002,2,0.35230392701234176,0000000001
0000000004,4,0.5569561249248235,0000000002,0000000001
0000000003,3,0.23568936821135902,0000000002
0000000005,5,0.5972803690478664,0000000001,0000000003,0000000004
0000000007,7,0.6369088689136901,0000000005,0000000001,0000000002
0000000011,11,0.48850582830239414,0000000002,0000000001,0000000005
0000000006,6,0.27182924271046544
0000000009,9,0.47949081578430647,0000000007,0000000002,0000000006
0000000010,10,0.6777676757113792,0000000009,0000000007,0000000004,0000000002
0000000015,15,0.9480933443969307,0000000007,0000000010
0000000012,12,0.2575063768870075,0000000011,0000000007
0000000013,13,0.9760107732808291,0000000011,0000000012,0000000004,0000000005
0000000040,40,0.9182491439622947,0000000012,0000000015,0000000003,0000000013
0000000016,16,0.9099674168665776,0000000006,0000000001,0000000003,0000000015
0000000014,14,0.7471505649417061,0000000013,0000000003,0000000009
0000000018,18,0.7301962851890196,0000000009,0000000013,0000000007,0000000002
0000000019,19,0.8374474224680767,0000000018,0000000006,0000000002,0000000003
0000000026,26,0.664840879925902,0000000004,0000000003,0000000009
0000000017,17,0.6402278653592396,0000000002,0000000003,0000000013,0000000010
0000000085,85,0.8845541755644284,0000000018,0000000015,0000000017
0000000060,60,0.871852566321646,0000000017,0000000006,0000000011,0000000009
0000000022,22,0.4008214725838727,0000000013,0000000019,0000000006,0000000009
0000000027,27,0.5532483142230472,0000000022,0000000004,0000000001
0000000008,8,0.46691376159347936,0000000004,0000000003
0000000025,25,0.37524080202921517,0000000016,0000000001,0000000006,0000000015
0000000021,21,0.14221373545130334,0000000018,0000000005,0000000006,0000000009
0000000029,29,0.7995010771451531,0000000013,0000000021
0000000035,35,0.9341775902650092,0000000029,0000000004,0000000005,0000000007
0000000028,28,0.579903710062864,0000000025,0000000006,0000000007,0000000012
0000000048,48,0.8233317918256393,0000000027,0000000028,0000000003,0000000026
0000000020,20,0.1863810058769607,0000000006,0000000014,0000000016,0000000009
0000000034,34,0.5256180788272994,0000000020,0000000009,0000000005,0000000008
0000000038,38,0.9649219703425083,0000000034,0000000007,0000000027,0000000018
0000000024,24,0.4268083688660279,0000000004,0000000018,0000000015,0000000009
0000000030,30,0.6044753622409197,0000000024,0000000001,0000000029,0000000015
0000000037,37,0.9117733282623084,0000000013,0000000021,0000000004,0000000030
0000000071,71,0.982078976400339,0000000048,0000000037,0000000060,0000000027
0000000031,31,0.3310752488677629,0000000003,0000000007,0000000014
0000000023,23,0.7543779205668513,0000000022,0000000002
0000000032,32,0.42692491216699663,0000000009,0000000021,0000000024
0000000033,33,0.0532346440462552,0000000001,0000000020,0000000012,0000000031
0000000073,73,0.6677970130923133,0000000015,0000000033,0000000031
0000000041,41,0.2744095524800337
0000000055,55,0.5718067146512096,0000000019,0000000041,0000000027,0000000022
0000000047,47,0.5707085144687662,0000000006,0000000032,0000000026,0000000035
0000000036,36,0.03902231462074153,0000000008,0000000003,0000000006,0000000014
0000000043,43,0.3974653518108932,0000000010,0000000036,0000000034,0000000005
0000000051,51,0.9916451320890818,0000000035,0000000031,0000000043
0000000052,52,0.8538165139886982,0000000023,0000000051,0000000038,0000000014
0000000045,45,0.08522543386430344,0000000021,0000000009,0000000017,0000000041
0000000086,86,0.8487165945718618,0000000023,0000000043,0000000073,0000000045
0000000049,49,0.4525911410528192,0000000005,0000000027,0000000023,0000000013
0000000042,42,0.08042451530953944,0000000019,0000000009,0000000029,0000000025
0000000096,96,0.6486932787548704,0000000033,0000000052,0000000014,0000000045
0000000050,50,0.8006158814352288,0000000041,0000000005,0000000045
0000000057,57,0.3387167507065382,0000000035,0000000032,0000000029
0000000063,63,0.8526286942544037,0000000045,0000000028,0000000057,0000000035
0000000054,54,0.03779344810298362,0000000037,0000000013,0000000049,0000000001
0000000061,61,0.9336197253653039,0000000034,0000000041,0000000054
0000000044,44,0.45608871285692454,0000000009,0000000034,0000000042,0000000004
0000000056,56,0.7112351961522713,0000000033,0000000029,0000000044,0000000051
0000000058,58,0.21503705362694744,0000000038,0000000030,0000000023,0000000032
0000000064,64,0.06788080105365014,0000000038,0000000049,0000000009,0000000041
0000000065,65,0.40325692425441473,0000000064,0000000029,0000000048,0000000052
0000000067,67,0.789717653166633,0000000065,0000000054,0000000058,0000000050
0000000093,93,0.6637618581398987,0000000003,0000000025,0000000067,0000000058
