0000000001,1,0.11191230175872034
0000000002,2,0.05862111572023235,0000000001
0000000003,3,0.8378425517834676
0000000004,4,0.9015339929886345,0000000003,0000000001
0000000005,5,0.770511862418739,0000000004,0000000001,0000000003
0000000006,6,0.007915719517716384,0000000005,0000000004
0000000007,7,0.5059143641587373,0000000006,0000000003,0000000002
0000000008,8,0.33198549768404734,0000000001,0000000003,0000000006
0000000009,9,0.36348221156533034,0000000003,0000000005,0000000006
0000000010,10,0.16112959997591914,0000000006,0000000002,0000000008,0000000003
0000000011,11,0.6543125469147024,0000000003,0000000004,0000000008
0000000012,12,0.5888471490421655,0000000003,0000000009,0000000007
0000000013,13,0.13441106165713101,0000000003,0000000005,0000000007
0000000014,14,0.3648282255928147,0000000010,0000000006,0000000002,0000000008
0000000015,15,0.05007103503281204,0000000004,0000000008,0000000011,0000000007
0000000016,16,0.8883690260269631,0000000002,0000000013,0000000015
0000000017,17,0.07432164546306319,0000000006,0000000010,0000000003,0000000015
0000000018,18,0.6157511740418926,0000000002,0000000001,0000000010,0000000008
0000000019,19,0.5773969807093011,0000000003,0000000016,0000000005,0000000017
0000000020,20,0.5110414238783997,0000000009,0000000016,0000000013,0000000008
0000000021,21,0.7279983156771509,0000000005,0000000010,0000000001
0000000022,22,0.9035056661581745,0000000005,0000000016
0000000023,23,0.053991859565968144,0000000002,0000000020,0000000012,0000000017
0000000024,24,0.49996376019093625,0000000005,0000000010,0000000021
0000000025,25,0.08319757553815162,0000000010,0000000012,0000000023
0000000026,26,0.7651392995108957,0000000019,0000000012,0000000007,0000000018
0000000027,27,0.1282696446916191,0000000026,0000000013,0000000012,0000000015
0000000028,28,0.11878388755641178,0000000002,0000000009,0000000017,0000000004
0000000029,29,0.5275241213868657
0000000030,30,0.12059041013420801,0000000011,0000000018,0000000013,0000000012
0000000031,31,0.44682122640972005,0000000014,0000000023,0000000022,0000000028
0000000032,32,0.6414038340720163,0000000021,0000000008,0000000029,0000000012
0000000033,33,0.784251787760002,0000000027,0000000006,0000000029,0000000008
0000000034,34,0.4623402501567752,0000000029,0000000002,0000000015,0000000003
0000000035,35,0.6984437709291201,0000000008,0000000005,0000000017
0000000036,36,0.3756023945602024,0000000014,0000000007,0000000023,0000000016
0000000037,37,0.6199337469815014,0000000025,0000000029,0000000015
0000000038,38,0.02414898883045136,0000000009,0000000034,0000000021,0000000031
0000000039,39,0.8692121444218421,0000000004,0000000025,0000000011
0000000040,40,0.012725694613303388,0000000036,0000000009,0000000035,0000000001
0000000041,41,0.21102676429405903,0000000027,0000000017,0000000010
0000000042,42,0.767082643492802,0000000032,0000000014,0000000030,0000000026
0000000043,43,0.8569595533716153,0000000017,0000000024,0000000009,0000000023
0000000044,44,0.045587583955540925,0000000036,0000000024,0000000013,0000000021
0000000045,45,0.4358525627665403,0000000020,0000000010,0000000002,0000000029
0000000046,46,0.5182436015145052,0000000041,0000000038,0000000014,0000000016
0000000047,47,0.9778934805875479,0000000010,0000000025,0000000038,0000000043
0000000048,48,0.1686559841373424,0000000036,0000000003,0000000006,0000000023
