0000000001,1,0.6996671785705078
0000000082,82,0.9940481608613481
0000000002,2,0.47181294274469043,0000000001
0000000071,71,0.978326381909403
0000000003,3,0.8705348266589588,0000000002,0000000001
0000000006,6,0.9858577665504011,0000000002,0000000001
0000000009,9,0.9170139406524652,0000000003,0000000002,0000000001
0000000021,21,0.8877407175228975
0000000010,10,0.5661586481182125,0000000009,0000000002,0000000001
0000000004,4,0.1078463043476068,0000000003
0000000039,39,0.9894744785965279,0000000004,0000000010
0000000005,5,0.8532759950353497,0000000003
0000000024,24,0.8817117369640163
0000000041,41,0.8275766893209731
0000000012,12,0.44093841149499,0000000003,0000000004
0000000007,7,0.34131424024266177,0000000004,0000000006
0000000014,14,0.5635644897120041,0000000009,0000000006,0000000005
0000000016,16,0.2535714102950434,0000000005,0000000009,0000000012
0000000025,25,0.4070238462149997
0000000019,19,0.17431081585192604,0000000016,0000000007,0000000002
0000000020,20,0.2710875897400277,0000000019,0000000003
0000000008,8,0.2644143199839033,0000000005,0000000006
0000000036,36,0.9731334870127107,0000000005,0000000008,0000000020
0000000050,50,0.7431761065806622
0000000011,11,0.13044019195808546,0000000001,0000000005
0000000030,30,0.6750448938680372
0000000013,13,0.49330844007046115,0000000002,0000000009,0000000012
0000000015,15,0.14057629023653223,0000000008,0000000007,0000000003
0000000018,18,0.030472051217521966,0000000004,0000000014
0000000027,27,0.7952401949785388,0000000018,0000000025,0000000004
0000000029,29,0.009938386711397785,0000000015,0000000002,0000000010
0000000032,32,0.5392590479428262,0000000011,0000000029,0000000001
0000000022,22,0.12243538028999346
0000000040,40,0.8596123308376891,0000000032,0000000030,0000000007
0000000044,44,0.547669097372348,0000000019,0000000013,0000000027
0000000023,23,0.2767731263304156
0000000054,54,0.7646803367786635
0000000045,45,0.5128228395349721,0000000019,0000000011,0000000005
0000000058,58,0.7943632434105266,0000000025,0000000045,0000000022
0000000052,52,0.7809031356724522,0000000039,0000000045,0000000040
0000000037,37,0.24460172977322758,0000000022,0000000015,0000000005
0000000026,26,0.2577809240812974,0000000002,0000000022,0000000023
0000000038,38,0.6705531375070224,0000000014,0000000037,0000000006
0000000033,33,0.1748644819782402,0000000006,0000000032,0000000013
0000000068,68,0.8730416867625452,0000000014,0000000033,0000000038
0000000017,17,0.10362796543055634,0000000009,0000000007,0000000005
0000000047,47,0.08377294599262661,0000000044,0000000008,0000000026
0000000048,48,0.8943463732941143,0000000038,0000000017,0000000047
0000000031,31,0.6893917617713713,0000000029,0000000014,0000000026
0000000053,53,0.7871220777549237,0000000020,0000000031,0000000025
0000000083,83,0.9063033952529861,0000000053,0000000029,0000000016
0000000080,80,0.7255598749993596,0000000045,0000000048,0000000012
0000000060,60,0.6538374900113645
0000000035,35,0.459505998900049,0000000011,0000000002,0000000027
0000000056,56,0.2432861601918983,0000000029,0000000009,0000000032
0000000028,28,0.15317259348505338,0000000025,0000000014,0000000003
0000000057,57,0.6026582128017246,0000000035,0000000056,0000000028
0000000059,59,0.8257495426655556,0000000008,0000000057,0000000044
0000000051,51,0.6268140227729092
0000000074,74,0.5250344178002833,0000000037,0000000038,0000000024
0000000046,46,0.5458141655263673
0000000079,79,0.9888538887685475,0000000009,0000000046,0000000057
0000000067,67,0.42660749717396595,0000000029,0000000011,0000000005
0000000078,78,0.6277307599120029,0000000005,0000000037,0000000067
0000000049,49,0.3089477739370452,0000000027,0000000022
0000000063,63,0.17025224806670528,0000000049,0000000051,0000000054
0000000073,73,0.8436313538400516,0000000040,0000000027,0000000063
0000000064,64,0.4714167939747128
0000000042,42,0.0015433609850066087,0000000017,0000000004,0000000013
0000000065,65,0.4249143753714473,0000000042,0000000045,0000000052
0000000034,34,0.007226313191946723,0000000004,0000000005,0000000033
0000000095,95,0.9691453328264215,0000000024,0000000034,0000000026
0000000072,72,0.6705021097969309,0000000030,0000000048,0000000034
0000000091,91,0.5211970638152919,0000000011,0000000034,0000000017
0000000096,96,0.43334643624200303,0000000035,0000000012,0000000058
0000000062,62,0.08320812074874444
0000000075,75,0.4963102381591745,0000000042,0000000062,0000000002
0000000069,69,0.41947344600710146,0000000052,0000000002,0000000006
0000000100,100,0.37342346855107017
0000000043,43,0.27009615232411266,0000000041,0000000024,0000000014
0000000066,66,0.21662919004322848,0000000036,0000000060,0000000059
0000000081,81,0.07791403223467797,0000000052,0000000040,0000000029
0000000086,86,0.8689024401029474,0000000081,0000000051
0000000076,76,0.03993205835954343,0000000051,0000000042,0000000022
0000000090,90,0.6893463199831803,0000000050,0000000026,0000000076
0000000055,55,0.18230507418109568
0000000061,61,0.24971255713940255,0000000057,0000000002,0000000055
0000000070,70,0.06670587094786844,0000000053,0000000039,0000000037
0000000077,77,0.37339335022027,0000000014,0000000070,0000000065
0000000087,87,0.14060262628100528
0000000094,94,0.4280072784753194,0000000002,0000000087,0000000004
0000000092,92,0.2046236001298933,0000000030,0000000004,0000000023
0000000099,99,0.5796840011023094,0000000092,0000000067,0000000009
0000000088,88,0.1381732183754049,0000000018,0000000033,0000000017
0000000085,85,0.11478815625244573
0000000084,84,0.06696907797846034,0000000068,0000000031,0000000081
0000000093,93,0.16441304072555898,0000000084,0000000028,0000000003
0000000098,98,0.04259838632690536,0000000028,0000000013,0000000054
0000000089,89,0.03204244596917214,0000000049,0000000072,0000000028
0000000097,97,0.03121819299830029
