0000000001,1,0.5317265788778684
0000000003,3,0.6660023457280817,0000000001
0000000020,20,0.9707495005588892
0000000042,42,0.9678899564974152
0000000005,5,0.3839969353640793
0000000019,19,0.9117778827355134
0000000007,7,0.012799337685627386
0000000004,4,0.5009677903920469,0000000001
0000000002,2,0.4860897926024331,0000000001
0000000030,30,0.9618412788492076
0000000013,13,0.7185157676810064,0000000007,0000000003
0000000006,6,0.43086470896483303,0000000004,0000000005,0000000002
0000000018,18,0.6748737742854624
0000000009,9,0.09363795062227515,0000000001,0000000003,0000000006
0000000010,10,0.7241934207266655,0000000003,0000000001
0000000015,15,0.1481612856475585,0000000010
0000000035,35,0.8820549934352889,0000000006,0000000019,0000000018
0000000026,26,0.9559789986083903,0000000002,0000000004,0000000019
0000000017,17,0.6690731281117611,0000000004,0000000005,0000000015
0000000008,8,0.5144999744562726,0000000003,0000000007,0000000006
0000000047,47,0.8408321462443022
0000000025,25,0.7907556988757856,0000000015,0000000017,0000000005
0000000022,22,0.6700059348729969,0000000009,0000000008,0000000013
0000000027,27,0.36598546138765137
0000000021,21,0.4712035532644239,0000000001,0000000008,0000000010
0000000029,29,0.8097940043873402,0000000022,0000000027,0000000006
0000000011,11,0.12370076269821513,0000000007,0000000010,0000000002
0000000016,16,0.6792506429262402,0000000009,0000000006
0000000023,23,0.2691088355177323,0000000003,0000000021,0000000009
0000000033,33,0.6717336856361777,0000000023,0000000015,0000000019
0000000077,77,0.7036327808577558
0000000014,14,0.8776876004405364,0000000007,0000000005
0000000043,43,0.7426137176755495
0000000012,12,0.06170988948001019,0000000011,0000000010,0000000006
0000000028,28,0.02779153033069399,0000000027,0000000016,0000000021
0000000036,36,0.7937218789539858,0000000028,0000000017,0000000013
0000000037,37,0.499863046660702,0000000008,0000000033,0000000036
0000000038,38,0.7812555175466717,0000000018,0000000035,0000000037
0000000046,46,0.8011511241464098,0000000022,0000000020,0000000038
0000000041,41,0.6496574493265713,0000000020,0000000012,0000000022
0000000039,39,0.23216779819656885,0000000028,0000000012,0000000023
0000000044,44,0.9457827792066604,0000000016,0000000015,0000000039
0000000045,45,0.9072065418791507,0000000023,0000000044,0000000010
0000000075,75,0.8802816619522792,0000000046,0000000005
0000000057,57,0.47361161389917045,0000000009,0000000041,0000000011
0000000040,40,0.35778064628785583
0000000024,24,0.3233556869932623,0000000013,0000000004,0000000005
0000000032,32,0.3150343275244925
0000000073,73,0.6515595366788486,0000000024,0000000001,0000000027
0000000049,49,0.38718385803799854,0000000020,0000000006,0000000032
0000000081,81,0.9830724418903827,0000000002,0000000024,0000000049
0000000068,68,0.7103059350908454,0000000013,0000000041,0000000049
0000000052,52,0.21397222719979997
0000000048,48,0.0794092001027258,0000000039,0000000006,0000000046
0000000056,56,0.977767428402864,0000000002,0000000048,0000000025
0000000059,59,0.6746002058951442,0000000012,0000000049,0000000048
0000000064,64,0.8146660729159357,0000000057,0000000056,0000000011
0000000089,89,0.7146902029523651,0000000052,0000000040,0000000075
0000000079,79,0.7727127052239602,0000000048,0000000077,0000000015
0000000050,50,0.07405136242672625,0000000042,0000000035
0000000091,91,0.6840824715392185,0000000026,0000000050,0000000068
0000000034,34,0.29452838000985637,0000000017,0000000025,0000000009
0000000082,82,0.5978028980716824,0000000001,0000000039,0000000064
0000000063,63,0.7163957630718004,0000000034,0000000044,0000000040
0000000051,51,0.3132274138778221,0000000042,0000000009,0000000012
0000000099,99,0.6085433070075079,0000000040,0000000048,0000000010
0000000096,96,0.6032980760030098,0000000063,0000000075,0000000030
0000000074,74,0.6179106063226514,0000000034,0000000013,0000000020
0000000054,54,0.4607755899160858
0000000087,87,0.5996132298452613
0000000085,85,0.7619331094535566,0000000075,0000000056,0000000059
0000000080,80,0.49790764006460825
0000000062,62,0.4437551378307777,0000000057,0000000017,0000000020
0000000067,67,0.11031150167169863
0000000070,70,0.21908745532446974
0000000076,76,0.6048593148280345,0000000027,0000000070,0000000050
0000000066,66,0.10060683882609683,0000000030,0000000012,0000000032
0000000093,93,0.6593220508805269,0000000054,0000000066,0000000057
0000000069,69,0.5886520574108336,0000000044,0000000067,0000000068
0000000058,58,0.13845955368400642,0000000051,0000000008,0000000027
0000000053,53,0.39006128244268423,0000000052,0000000010,0000000050
0000000065,65,0.010501139348493197,0000000027,0000000003,0000000062
0000000072,72,0.4901471104825093,0000000051,0000000040,0000000041
0000000078,78,0.4718513572571109,0000000052,0000000043,0000000020
0000000071,71,0.277385702805606,0000000058,0000000048,0000000044
0000000094,94,0.4826571505403861,0000000041,0000000071,0000000065
0000000100,100,0.9487958309832543,0000000017,0000000011,0000000094
0000000092,92,0.3510531451592652,0000000054,0000000041,0000000063
0000000060,60,0.3162108266061686,0000000039,0000000021,0000000054
0000000095,95,0.31253740339020775,0000000046,0000000077,0000000047
0000000061,61,0.321811548319758,0000000036,0000000017,0000000022
0000000031,31,0.07689596935103613,0000000002,0000000004,0000000022
0000000084,84,0.25153796013892055,0000000056,0000000043
0000000086,86,0.24707791502481796,0000000066,0000000069,0000000059
0000000088,88,0.12133061249133946
0000000097,97,0.881487367114693,0000000060,0000000054,0000000088
0000000083,83,0.11072013172906658,0000000072,0000000079,0000000016
0000000055,55,0.2946925425815037
0000000098,98,0.04106546274875191,0000000022,0000000077,0000000052
0000000090,90,0.14998682359982524,0000000030,0000000048,0000000027
