0000000001,1,0.22324837992288013
0000000002,2,0.5089593062485732
0000000003,3,0.9605443179226537
0000000004,4,0.6230625558724725
0000000005,5,0.1225349139677412,0000000001,0000000002
0000000006,6,0.6051518999741308,0000000005,0000000002,0000000001
0000000007,7,0.3377975240093463
0000000008,8,0.8512307766148547,0000000001,0000000003
0000000009,9,0.8541073443159207,0000000008,0000000006
0000000010,10,0.4328662168443415,0000000004,0000000008
0000000011,11,0.33553349153528983,0000000004,0000000001,0000000006
0000000012,12,0.5097144174070898,0000000009,0000000004
0000000013,13,0.9356285789894659,0000000004,0000000012,0000000001
0000000014,14,0.19495769807558072,0000000011,0000000004,0000000007
0000000015,15,0.6789033134830816
0000000016,16,0.8117097669052703
0000000017,17,0.5077377120347474
0000000018,18,0.04073736461174317
0000000019,19,0.6483832408000473,0000000016,0000000015,0000000002
0000000020,20,0.9109334228010827,0000000003,0000000007
0000000021,21,0.7819768208071503
0000000022,22,0.8862850842192841,0000000021,0000000006,0000000018
0000000023,23,0.3530165824556333
0000000024,24,0.5041604917035596,0000000003,0000000004,0000000007
0000000025,25,0.40375881929883617,0000000015,0000000022
0000000026,26,0.8803160235523622,0000000023,0000000016,0000000005
0000000027,27,0.5448042024072774,0000000017,0000000007,0000000006
0000000028,28,0.61497616463556,0000000017,0000000021,0000000011
0000000029,29,0.4383463560454197,0000000011,0000000012,0000000001
0000000030,30,0.9656084761109163,0000000021,0000000013,0000000020
0000000031,31,0.39172640083837473,0000000019,0000000001,0000000002
0000000032,32,0.5606379037438218,0000000026,0000000023
0000000033,33,0.09596018094993308,0000000012,0000000015,0000000021
0000000034,34,0.5071760965762037,0000000025,0000000013,0000000032
0000000035,35,0.9190761280622545,0000000014,0000000001
0000000036,36,0.14918499973278315,0000000005,0000000032,0000000013
0000000037,37,0.9547982944558058,0000000030,0000000017,0000000033
0000000038,38,0.7138823756135816,0000000002,0000000020,0000000031
0000000039,39,0.7832195026241308,0000000015,0000000037
0000000040,40,0.9879697059218641
0000000041,41,0.755495506727007,0000000026,0000000032,0000000039
0000000042,42,0.046732789352653174,0000000021,0000000012,0000000040
0000000043,43,0.3089096077623853,0000000018,0000000019,0000000012
0000000044,44,0.682380619474277,0000000012,0000000042,0000000015
0000000045,45,0.40312774494920145,0000000011,0000000008,0000000019
0000000046,46,0.09509278401106082,0000000001,0000000009,0000000041
0000000047,47,0.20899065052500443,0000000017,0000000015,0000000025
0000000048,48,0.06349665033679461,0000000020,0000000001,0000000017
0000000049,49,0.2998004010349184,0000000026,0000000015,0000000018
0000000050,50,0.20795042729475918,0000000034,0000000022,0000000042
0000000051,51,0.19397628571332384,0000000003,0000000048,0000000012
0000000052,52,0.7763159784699608,0000000038,0000000050,0000000008
0000000053,53,0.6050701509164466,0000000022,0000000044,0000000036
0000000054,54,0.4875156908010078,0000000015,0000000020,0000000052
0000000055,55,0.21588081882526544,0000000020,0000000016,0000000017
0000000056,56,0.8524627045585526,0000000036,0000000043,0000000022
0000000057,57,0.07430492134553217,0000000011,0000000024,0000000020
0000000058,58,0.49782993213406074,0000000031,0000000035,0000000027
0000000059,59,0.6735871808190382,0000000026,0000000055,0000000012
0000000060,60,0.06984496614988801,0000000038,0000000052,0000000036
0000000061,61,0.11379896262961682,0000000022,0000000003,0000000037
0000000062,62,0.2342617932158746
0000000063,63,0.045448557886932625
0000000064,64,0.922335688910538,0000000036,0000000009,0000000040
0000000065,65,0.9242090601854661,0000000002,0000000023,0000000055
0000000066,66,0.08740898356446515,0000000047,0000000009,0000000057
0000000067,67,0.9813243156319345,0000000027,0000000043,0000000061
0000000068,68,0.020155888646885917,0000000045,0000000042,0000000059
0000000069,69,0.6918391890796598,0000000042,0000000019,0000000052
0000000070,70,0.1565026895151628
0000000071,71,0.4418473374433984,0000000062,0000000023,0000000001
0000000072,72,0.3271023659953976,0000000065,0000000061,0000000021
0000000100,100,0.67908876474727,0000000026,0000000072,0000000032
0000000074,74,0.9381180504296709,0000000005,0000000051,0000000020
0000000075,75,0.46090930923646045,0000000016,0000000041,0000000063
0000000073,73,0.061474071806017404,0000000049,0000000032,0000000009
0000000077,77,0.21421439245264579,0000000037,0000000020,0000000030
0000000078,78,0.9621319127530198
0000000079,79,0.2734054737605952,0000000010,0000000052,0000000053
0000000080,80,0.09412457254088544,0000000045,0000000053,0000000014
0000000081,81,0.31450494548039953
0000000082,82,0.12238805334949206,0000000061,0000000074,0000000046
0000000083,83,0.04877068203873621,0000000058,0000000059,0000000055
0000000084,84,0.1201297991482693
0000000085,85,0.9501489696927204,0000000029,0000000038,0000000017
0000000086,86,0.34099321758190604,0000000078,0000000058,0000000063
0000000087,87,0.31544097274703475
0000000088,88,0.9701218691931119
0000000089,89,0.7187343171093756,0000000047,0000000003,0000000031
0000000090,90,0.7587485844782319,0000000003,0000000025,0000000035
0000000091,91,0.3458592207347428,0000000013,0000000032,0000000057
0000000092,92,0.6137617371217094,0000000085,0000000091,0000000039
0000000093,93,0.947117075341328,0000000063,0000000008,0000000066
0000000094,94,0.12784566734839517
0000000095,95,0.9970637188615086,0000000037,0000000077,0000000094
0000000096,96,0.8863469219363682,0000000085,0000000062,0000000059
0000000097,97,0.8457725302825546,0000000048,0000000069,0000000035
0000000098,98,0.48932677249992484
0000000099,99,0.581550030008362
0000000076,76,0.022648925748904005
