0000000001,1,0.8581771854955522
0000000002,2,0.8702245293462966,0000000001
0000000003,3,0.4458147593730137,0000000002
0000000007,7,0.908963990724123,0000000003,0000000002
0000000008,8,0.7799081629476802,0000000007,0000000002,0000000003
0000000004,4,0.16390472725408797,0000000003,0000000002
0000000005,5,0.8533721677239959,0000000004,0000000002,0000000001
0000000006,6,0.3665028893355942,0000000002,0000000001
0000000009,9,0.054768688347853596,0000000006,0000000002,0000000005
0000000011,11,0.9430654455270572,0000000009,0000000002,0000000005
0000000012,12,0.9256579891655548,0000000008,0000000003,0000000006,0000000004
0000000010,10,0.9016198986051316,0000000009,0000000003,0000000002
0000000014,14,0.7471074480220281,0000000012,0000000004,0000000010,0000000009
0000000015,15,0.5760662714910416,0000000012,0000000002
0000000019,19,0.8637934758986342,0000000003,0000000015,0000000014,0000000006
0000000040,40,0.8368628595379041
0000000013,13,0.3344403418204628,0000000012,0000000004,0000000008,0000000002
0000000016,16,0.21408841424049702,0000000010,0000000015,0000000004,0000000011
0000000018,18,0.37660282653138827,0000000007,0000000014,0000000004,0000000016
0000000021,21,0.950567137904241,0000000006,0000000018,0000000012
0000000017,17,0.8076770057213009,0000000013,0000000003,0000000010,0000000016
0000000022,22,0.7988621255424875,0000000011,0000000018,0000000009,0000000005
0000000050,50,0.6914043529439724,0000000012,0000000022,0000000004,0000000007
0000000020,20,0.32490964819505835,0000000008,0000000004,0000000014
0000000041,41,0.6864210239577252,0000000022,0000000008,0000000020
0000000027,27,0.3517557990011617,0000000007,0000000006,0000000005,0000000013
0000000033,33,0.8551206292951832,0000000018,0000000017,0000000022,0000000027
0000000025,25,0.055722416412479596,0000000009,0000000004,0000000001,0000000010
0000000030,30,0.9614724226637358,0000000020,0000000003,0000000025,0000000022
0000000048,48,0.9567159276988193,0000000014,0000000012,0000000015,0000000033
0000000037,37,0.7047684392283501,0000000027,0000000002,0000000030,0000000011
0000000029,29,0.6265427956483223,0000000012,0000000020,0000000013,0000000010
0000000023,23,0.009543460835770788,0000000016,0000000007,0000000001,0000000006
0000000031,31,0.6130094298252848,0000000013,0000000022,0000000005,0000000023
