0000000001,1,0.01614050986286349
0000000002,2,0.34142625876043275,0000000001
0000000003,3,0.6499950877272531,0000000002
0000000005,5,0.9406672457265595,0000000002,0000000003
0000000095,95,0.8722525179807273
0000000008,8,0.4904416229696754,0000000002,0000000001
0000000004,4,0.3850363477320824,0000000002,0000000003
0000000007,7,0.27545500398910866
0000000009,9,0.5717178288910856,0000000001,0000000004,0000000007
0000000012,12,0.6078450788016215,0000000009,0000000005
0000000014,14,0.9463870962522859,0000000003,0000000012,0000000008
0000000038,38,0.8814606511985429,0000000004,0000000001,0000000012
0000000019,19,0.7003470829488285,0000000004,0000000008,0000000009
0000000020,20,0.6738856919979443,0000000008,0000000007,0000000002,0000000014
0000000010,10,0.28613119569249085,0000000007,0000000001
0000000013,13,0.07627466484129233,0000000010,0000000008,0000000002
0000000015,15,0.1109703944994961,0000000005,0000000009,0000000007,0000000013
0000000017,17,0.7229030417753405,0000000009,0000000015,0000000001
0000000022,22,0.696821464187251,0000000003,0000000020,0000000013
0000000024,24,0.5634697842692267,0000000005,0000000013,0000000019,0000000001
0000000032,32,0.6240432090988334,0000000020,0000000012,0000000024,0000000005
0000000011,11,0.4432545194009808,0000000007,0000000004,0000000010,0000000009
0000000016,16,0.549493609158547,0000000013,0000000010,0000000011,0000000014
0000000063,63,0.625775190168265,0000000003,0000000010,0000000016
0000000006,6,0.3335424509792236,0000000005,0000000004,0000000003
0000000018,18,0.5826927975042713,0000000008,0000000009,0000000006
0000000021,21,0.5557008965433593,0000000008,0000000011,0000000004,0000000017
0000000027,27,0.46163824400450915,0000000009,0000000005,0000000017,0000000001
0000000031,31,0.7860392988913296,0000000027,0000000001,0000000019,0000000004
0000000023,23,0.4695569990435303,0000000013,0000000019,0000000010,0000000017
0000000028,28,0.41964313344034976,0000000015,0000000024,0000000010,0000000013
0000000029,29,0.07104075474306246,0000000007,0000000024,0000000011,0000000003
0000000034,34,0.3196201920526566,0000000015,0000000016,0000000002,0000000029
0000000048,48,0.8892556253697732,0000000005,0000000024,0000000027,0000000034
0000000035,35,0.4024247165189067,0000000007,0000000006,0000000034,0000000014
0000000039,39,0.2314026711180704,0000000003,0000000024,0000000022,0000000031
0000000043,43,0.8404076699586883,0000000039,0000000020,0000000007
0000000036,36,0.13534689558581434,0000000035,0000000027,0000000021
0000000041,41,0.6592167897085369,0000000034,0000000016,0000000036,0000000020
0000000025,25,0.13665492185861033,0000000015,0000000022,0000000024
0000000037,37,0.09327013017452161,0000000020,0000000024,0000000016,0000000025
0000000052,52,0.8648246898150997,0000000036,0000000019,0000000041,0000000037
0000000026,26,0.06224884227257734,0000000001,0000000004,0000000005
0000000040,40,0.21120634258596252,0000000026,0000000037,0000000021,0000000010
0000000049,49,0.9290413669314913,0000000028,0000000015,0000000004,0000000040
0000000046,46,0.7534743711273781,0000000040,0000000023,0000000029,0000000024
0000000042,42,0.7409140298982194,0000000029,0000000041,0000000022,0000000023
0000000030,30,0.6777606598631755,0000000021,0000000025,0000000024,0000000023
0000000067,67,0.6159313755247803,0000000035,0000000011,0000000063,0000000005
0000000044,44,0.615252010628017,0000000039,0000000014,0000000038
0000000054,54,0.5582797731048187,0000000027,0000000043,0000000023,0000000035
0000000033,33,0.3868860921423348,0000000007,0000000018,0000000021,0000000022
0000000056,56,0.3365196206011014
0000000072,72,0.9733018065763761,0000000023,0000000044,0000000006,0000000056
0000000050,50,0.048120715891507904,0000000019,0000000042,0000000009,0000000020
0000000061,61,0.9301351866954689,0000000037,0000000048,0000000050,0000000002
0000000077,77,0.7939707488753078,0000000006,0000000011,0000000014,0000000061
0000000097,97,0.7578171751751847,0000000052,0000000007,0000000002,0000000072
0000000065,65,0.4929166536831565,0000000050,0000000038,0000000018,0000000041
0000000088,88,0.7022666387018334,0000000037,0000000028,0000000065
0000000059,59,0.5922546765678433,0000000022,0000000024,0000000050
0000000064,64,0.7016674626402903,0000000063,0000000010,0000000021,0000000059
0000000085,85,0.887913004101038,0000000025,0000000003,0000000048,0000000064
0000000047,47,0.3971693052396651,0000000018,0000000033,0000000015,0000000016
0000000057,57,0.18748235451444945,0000000038,0000000047,0000000026,0000000019
0000000071,71,0.9833761872699277,0000000035,0000000046,0000000057,0000000015
0000000069,69,0.6391228431392973,0000000061,0000000042,0000000034,0000000059
0000000082,82,0.46006077963941816,0000000009,0000000048,0000000056,0000000013
0000000096,96,0.3987341160114392,0000000011,0000000019,0000000054,0000000056
0000000089,89,0.35581507097021003,0000000054,0000000077,0000000037,0000000006
0000000055,55,0.03970591816760073,0000000001,0000000043,0000000040,0000000038
0000000068,68,0.3678357612765361,0000000055,0000000065,0000000059,0000000022
0000000062,62,0.32797384726829487,0000000007,0000000020,0000000034,0000000010
0000000074,74,0.004534709072628837,0000000035,0000000021,0000000025,0000000065
0000000075,75,0.9197395397387684,0000000003,0000000074,0000000062
0000000086,86,0.5257008340602135,0000000074,0000000043,0000000028,0000000023
0000000053,53,0.18990567482030243,0000000012,0000000047,0000000031,0000000018
0000000058,58,0.028322098381022592,0000000029,0000000003,0000000046,0000000042
0000000084,84,0.8950168310274323,0000000058,0000000020,0000000047,0000000053
0000000073,73,0.18347344116831377,0000000015,0000000054,0000000064,0000000010
0000000087,87,0.7627842347739068,0000000068,0000000073,0000000020,0000000014
0000000094,94,0.5869929106375705,0000000006,0000000023,0000000084,0000000011
0000000070,70,0.021689167633583563,0000000046,0000000047,0000000013,0000000016
0000000080,80,0.3035340327626109,0000000041,0000000070,0000000062,0000000010
0000000081,81,0.6923230262788185,0000000080,0000000073,0000000057,0000000014
0000000091,91,0.37502020069761643,0000000052,0000000053,0000000025,0000000050
0000000092,92,0.6258521106942724,0000000064,0000000043,0000000091,0000000046
0000000060,60,0.02385746742063045,0000000023,0000000003,0000000022,0000000019
0000000093,93,0.9525514151075788,0000000060,0000000010,0000000081,0000000038
0000000066,66,0.35844262798925375,0000000046,0000000055,0000000061,0000000062
0000000045,45,0.22112468024545662,0000000008,0000000022,0000000005,0000000002
0000000083,83,0.5157340335422378,0000000045,0000000066,0000000014,0000000042
0000000076,76,0.2774645875949362,0000000036,0000000032,0000000004,0000000047
0000000098,98,0.2512128914802434,0000000030,0000000070,0000000080,0000000091
0000000051,51,0.20369382224971833,0000000046,0000000002,0000000019,0000000029
0000000099,99,0.20046932038190762,0000000026,0000000023,0000000062,0000000018
0000000079,79,0.14953803843541774,0000000025,0000000076,0000000001,0000000020
0000000090,90,0.0659105734714617,0000000055,0000000051,0000000056,0000000014
0000000100,100,0.6866107472419088,0000000005,0000000090,0000000004,0000000012
0000000078,78,0.12280100722578886,0000000038,0000000021,0000000053,0000000044
