0000000001,1,0.8923148426369156
0000000002,2,0.949489010180694,0000000001
0000000073,73,0.8649930179044645
0000000003,3,0.002536726168752806,0000000002,0000000001
0000000005,5,0.4060529499372853,0000000001,0000000002,0000000003
0000000006,6,0.8609837884491162,0000000005,0000000002
0000000004,4,0.6465467164324226,0000000001,0000000002,0000000003
0000000009,9,0.6659401465850353,0000000003,0000000004,0000000006
0000000008,8,0.42292735948119664,0000000005
0000000011,11,0.9444937706960629,0000000005,0000000008
0000000012,12,0.8905881988196711,0000000008,0000000005,0000000011
0000000010,10,0.3378279548795711,0000000002,0000000005,0000000006
0000000013,13,0.7847183518377241,0000000002,0000000010,0000000008
0000000014,14,0.7275918526698212,0000000012,0000000005
0000000007,7,0.48420071731590336,0000000004,0000000006,0000000005
0000000017,17,0.46403341183542773,0000000011,0000000002,0000000004
0000000016,16,0.4381333602145425,0000000007,0000000002,0000000011
0000000020,20,0.9463178684261305,0000000005,0000000016,0000000010
0000000031,31,0.9294444787550034,0000000014,0000000003,0000000016
0000000019,19,0.7391092589167435,0000000016,0000000004,0000000002,0000000007
0000000024,24,0.6585968069076412,0000000002,0000000006,0000000010,0000000020
0000000015,15,0.46039195351335477,0000000011,0000000010,0000000008,0000000014
0000000021,21,0.347818007320553,0000000002,0000000019,0000000008
0000000023,23,0.3670805664057978,0000000020,0000000012,0000000013,0000000021
0000000026,26,0.6012305118463857,0000000019,0000000023,0000000009,0000000014
0000000038,38,0.9758535482625478,0000000026,0000000011,0000000005
0000000025,25,0.7009976619223776,0000000015,0000000024,0000000017
0000000027,27,0.6803083078145211,0000000016,0000000023,0000000006,0000000017
0000000028,28,0.07126715111789904,0000000013,0000000003,0000000021,0000000020
0000000032,32,0.9733052529139278,0000000010,0000000028,0000000012
0000000084,84,0.9508965580332257,0000000073,0000000027,0000000019,0000000028
0000000042,42,0.8359482898709757,0000000012,0000000028,0000000027,0000000004
0000000018,18,0.012798692011145842,0000000012
0000000049,49,0.958471164640328,0000000018,0000000020,0000000008,0000000042
0000000064,64,0.8806976260081422,0000000014,0000000012,0000000028,0000000042
0000000033,33,0.8621050239814957,0000000010,0000000018,0000000012
0000000030,30,0.38677502136982594,0000000013,0000000014,0000000025,0000000006
0000000058,58,0.9022671097975161,0000000001,0000000013,0000000030
0000000022,22,0.2616837033357798,0000000006,0000000002,0000000003,0000000013
0000000040,40,0.7642992218235963,0000000004,0000000022,0000000011,0000000006
0000000044,44,0.8205236537197269,0000000018,0000000042,0000000040
0000000081,81,0.7891902555155247,0000000016,0000000044,0000000042,0000000015
0000000082,82,0.5513942813571581
0000000083,83,0.816205826285376,0000000058,0000000032,0000000064,0000000082
0000000029,29,0.03629240572982154,0000000004,0000000027,0000000014
0000000037,37,0.21489548605047562,0000000019,0000000006,0000000002,0000000029
0000000050,50,0.6274544003655904,0000000013,0000000037,0000000011,0000000004
0000000056,56,0.7581781650966558,0000000050,0000000025,0000000022,0000000038
0000000052,52,0.6439865327984741,0000000040,0000000028,0000000031,0000000032
0000000034,34,0.5501984727874928,0000000002,0000000007,0000000029
0000000059,59,0.5219739413909362,0000000027,0000000032,0000000037,0000000015
0000000076,76,0.9098182831813515,0000000034,0000000056,0000000013,0000000059
0000000039,39,0.41775033358142294,0000000030,0000000023,0000000017,0000000032
0000000043,43,0.48062889313503976,0000000039,0000000020,0000000037,0000000031
0000000057,57,0.6025303425206846,0000000043,0000000022,0000000003,0000000017
0000000054,54,0.4173309373273936
0000000035,35,0.377744733298928,0000000027,0000000013,0000000028,0000000021
0000000047,47,0.22820636837398733,0000000006,0000000017,0000000010,0000000012
0000000048,48,0.14365654390296181,0000000022,0000000042,0000000047,0000000012
0000000051,51,0.12180021619102434,0000000021,0000000039,0000000035,0000000030
0000000068,68,0.9686012941314707,0000000001,0000000020,0000000051,0000000017
0000000066,66,0.9616215158173911,0000000057,0000000017,0000000028,0000000048
0000000071,71,0.5717075887484965,0000000051,0000000056,0000000054,0000000021
0000000074,74,0.5446956097117538,0000000026,0000000032,0000000004,0000000011
0000000062,62,0.3847642331088596
0000000079,79,0.7058904935320423,0000000006,0000000034,0000000062,0000000028
0000000078,78,0.4471770127600474,0000000029,0000000071,0000000003,0000000049
0000000065,65,0.04756358857142771,0000000032,0000000019,0000000052,0000000030
0000000069,69,0.7539605814826845,0000000065,0000000034,0000000011,0000000033
0000000036,36,0.4303580164999431,0000000021,0000000009,0000000019,0000000005
0000000095,95,0.41061751363103527
0000000041,41,0.06659681389993181,0000000023,0000000011,0000000003
0000000053,53,0.15247029302981643,0000000041,0000000025,0000000052,0000000023
0000000072,72,0.40591624214335237,0000000053,0000000003,0000000008,0000000068
0000000089,89,0.7430026906092556,0000000054,0000000018,0000000025,0000000072
0000000061,61,0.25496420028651373,0000000034,0000000032,0000000027,0000000035
0000000091,91,0.7429554748126221,0000000061,0000000002,0000000065,0000000037
0000000100,100,0.9662134292073477,0000000040,0000000064,0000000001,0000000091
0000000070,70,0.375646127752655,0000000041,0000000022,0000000047,0000000048
0000000098,98,0.863008654930879,0000000070,0000000053,0000000037,0000000024
0000000097,97,0.6346134362726815,0000000070,0000000012,0000000053,0000000010
0000000055,55,0.17727250193313687,0000000013,0000000030,0000000006,0000000031
