dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl,1,0.6691117550295548
qJhhXJceaKnrvruanMFhOWlVDnxPfpXCTORahlO,2,0.6543478206410868,dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl
QmBjfTuhuwBQkzvPyRsGaeFsEIiUtEnijdqcMFc,3,0.43835319474298506,dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl
WNvikKYdwVkxfSSEmwtgsEnFDcLAfFxfnAyRNvh,71,0.5828055432873754,dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl
WULXHewNxoMaBwTakGvrctZqiYnCYnKvmMaXRLR,5,0.24051596141951792,qJhhXJceaKnrvruanMFhOWlVDnxPfpXCTORahlO
gWFrVrYVhLBJMeBARkWcaAoXchGnJZlcvSEetFd,8,0.8794651680018257,QmBjfTuhuwBQkzvPyRsGaeFsEIiUtEnijdqcMFc
WkoCApZqGnilSZoJzYqvznvPEbqRIQqynqSUPyE,7,0.4755621480069763,JQbYYgTuVEEzhPVpztDxIRymNoKxoiMUhZAGNKk
AWGdMTwsIYWegLiQNxINEVsoGKlEbOQlwQJpxbz,11,0.9646546329470869,dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl
mFYndIFOsODvDHymIBQxJNAlhGzcbGPeuiTWEtq,9,0.9769526141920452
JQbYYgTuVEEzhPVpztDxIRymNoKxoiMUhZAGNKk,6,0.02455391128023825,qJhhXJceaKnrvruanMFhOWlVDnxPfpXCTORahlO
JzYWgasBfdnwtfsmUNjHDUxFLSPQttXPQTWOfhh,12,0.5851262820497529,dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl
WqOYMYZjMUOPlEOLpgPUfSVXxsAEiPlvARPsgYk,36,0.7338543683009331,QmBjfTuhuwBQkzvPyRsGaeFsEIiUtEnijdqcMFc
qNbqRxcWSiMRATeqNWDpnyFiOzOuBFgBmujLyJc,13,0.7820998209654869,AWGdMTwsIYWegLiQNxINEVsoGKlEbOQlwQJpxbz
jtbQVpSizrwuTmqiyyXOvMDpYghDQOIGGDToJGR,41,0.7118208641367697,WULXHewNxoMaBwTakGvrctZqiYnCYnKvmMaXRLR
kxVdpVAymZpTaMNscUuZJOsTHEjSofimwEwUVMy,15,0.936987054018357,vtoIeiOMwNhevkUUvbGyoworpqQmilQqnUFYtVc
ttyPZnuaAxSlpTPkWPAUrzIIJTeHGJSXPecdbBZ,16,0.8928210856002392,kxVdpVAymZpTaMNscUuZJOsTHEjSofimwEwUVMy
mSUxAbndtiOuebzezvEUpcmZtqlkCDUqOnJagyl,22,0.3532867665168731,WkoCApZqGnilSZoJzYqvznvPEbqRIQqynqSUPyE
CmhKfjjmapZwJShgdydrIUHVCSfLNrNtuhEAvYn,18,0.7837621085624901,vtoIeiOMwNhevkUUvbGyoworpqQmilQqnUFYtVc
kDzCozyajPmgidfeXXRjGobjGmDvteqMkIByOIi,19,0.7973905786817544
XaThTjzjrzVzbvEcHzmFTOBRMWopkMZcGxWElRi,28,0.7808451583898122,KGNnlzDJZfjUcmtyUoZbrqHmLDEreAwYyUoxrtz
oyHdFfkSsHTRQAAJpvNeERigZntloCnbtVRIVUa,32,0.558616625696543,HeqnnUDUcMLGnqljpoSCwSKxELVQYUDcsigFIeB
