dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl,1,0.6691117550295548
qJhhXJceaKnrvruanMFhOWlVDnxPfpXCTORahlO,2,0.6543478206410868,dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl
QmBjfTuhuwBQkzvPyRsGaeFsEIiUtEnijdqcMFc,3,0.43835319474298506,dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl
dngvFGuVIbMBQxSXlkpFNmAfIfpYGXoQXYJzKet,4,0.0039559042894481596
WULXHewNxoMaBwTakGvrctZqiYnCYnKvmMaXRLR,5,0.24051596141951792,qJhhXJceaKnrvruanMFhOWlVDnxPfpXCTORahlO
JQbYYgTuVEEzhPVpztDxIRymNoKxoiMUhZAGNKk,6,0.02455391128023825,qJhhXJceaKnrvruanMFhOWlVDnxPfpXCTORahlO
WkoCApZqGnilSZoJzYqvznvPEbqRIQqynqSUPyE,7,0.4755621480069763,JQbYYgTuVEEzhPVpztDxIRymNoKxoiMUhZAGNKk
gWFrVrYVhLBJMeBARkWcaAoXchGnJZlcvSEetFd,8,0.8794651680018257,QmBjfTuhuwBQkzvPyRsGaeFsEIiUtEnijdqcMFc
mFYndIFOsODvDHymIBQxJNAlhGzcbGPeuiTWEtq,9,0.9769526141920452
vtoIeiOMwNhevkUUvbGyoworpqQmilQqnUFYtVc,10,0.4278318871217118,WULXHewNxoMaBwTakGvrctZqiYnCYnKvmMaXRLR
AWGdMTwsIYWegLiQNxINEVsoGKlEbOQlwQJpxbz,11,0.9646546329470869,dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl
JzYWgasBfdnwtfsmUNjHDUxFLSPQttXPQTWOfhh,12,0.5851262820497529,dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl
qNbqRxcWSiMRATeqNWDpnyFiOzOuBFgBmujLyJc,13,0.7820998209654869,AWGdMTwsIYWegLiQNxINEVsoGKlEbOQlwQJpxbz
YXbxlLKFlQUHLWwFzVogUdjhVzmoKOQqAZtrnOJ,14,0.4249808127144669,gWFrVrYVhLBJMeBARkWcaAoXchGnJZlcvSEetFd
kxVdpVAymZpTaMNscUuZJOsTHEjSofimwEwUVMy,15,0.936987054018357,vtoIeiOMwNhevkUUvbGyoworpqQmilQqnUFYtVc
ttyPZnuaAxSlpTPkWPAUrzIIJTeHGJSXPecdbBZ,16,0.8928210856002392,kxVdpVAymZpTaMNscUuZJOsTHEjSofimwEwUVMy
KGNnlzDJZfjUcmtyUoZbrqHmLDEreAwYyUoxrtz,17,0.5794162695722966,AWGdMTwsIYWegLiQNxINEVsoGKlEbOQlwQJpxbz
CmhKfjjmapZwJShgdydrIUHVCSfLNrNtuhEAvYn,18,0.7837621085624901,vtoIeiOMwNhevkUUvbGyoworpqQmilQqnUFYtVc
kDzCozyajPmgidfeXXRjGobjGmDvteqMkIByOIi,19,0.7973905786817544
PyDuscEzmluOGRCHpFfBdFDcsuqMJuGeIwoBXJO,20,0.3944177639029584,JQbYYgTuVEEzhPVpztDxIRymNoKxoiMUhZAGNKk
kUuFralcratIyGXuEIUAcYfETllqiswGyyuZMhg,21,0.2806863498895161,qNbqRxcWSiMRATeqNWDpnyFiOzOuBFgBmujLyJc
mSUxAbndtiOuebzezvEUpcmZtqlkCDUqOnJagyl,22,0.3532867665168731,WkoCApZqGnilSZoJzYqvznvPEbqRIQqynqSUPyE
